gatename,gate_in_1,gate_in_2,gate_in_3,gate_in_4,gate_in_5,fan_in_1,fan_in_2,fan_in_3,fan_in_4,fan_in_5,in_flipflop_1,in_flipflop_2,in_flipflop_3,in_flipflop_4,in_flipflop_5,out_flipflop_1,out_flipflop_2,out_flipflop_3,out_flipflop_4,out_flipflop_5,in_near_flipflop,out_near_flipflop,in_multiplexer_1,in_multiplexer_2,in_multiplexer_3,in_multiplexer_4,in_multiplexer_5,out_multiplexer_1,out_multiplexer_2,out_multiplexer_3,out_multiplexer_4,out_multiplexer_5,in_near_multiplexer,out_near_multiplexer,in_const_1,in_const_2,in_const_3,in_const_4,in_const_5,out_const_1,out_const_2,out_const_3,out_const_4,out_const_5,inv_1,inv_2,inv_3,inv_4,inv_5,loop_1,loop_2,loop_3,loop_4,loop_5,DPI,DPO,label
DFF_28_Q_reg,4,4,4,4,4,1,2,3,4,5,1,1,1,1,1,1,3,5,11,25,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,2,0
DFF_29_Q_reg,4,4,4,4,4,1,2,3,4,5,1,1,1,1,1,1,2,3,6,14,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,2,0
DFF_30_Q_reg,4,4,4,4,4,1,2,3,4,5,1,1,1,1,1,1,2,5,13,26,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,0,0,0,0,0,1,0
DFF_31_Q_reg,4,4,4,4,4,1,2,3,4,5,1,1,1,1,1,0,2,3,11,25,1,2,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0
DFF_32_Q_reg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,13,28,10,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,2,0
DFF_33_Q_reg,4,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,3,6,13,26,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,2,0
DFF_34_Q_reg,4,4,0,0,0,1,2,2,2,2,1,1,0,0,0,1,3,6,13,30,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,0,0,0,0,0,2,0
DFF_35_Q_reg,4,4,4,0,0,1,2,3,3,3,1,1,1,0,0,1,3,6,14,31,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,2,0
DFF_36_Q_reg,4,4,4,4,0,1,2,3,4,4,1,1,1,1,0,1,3,7,16,37,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,2,0
DFF_37_Q_reg,4,4,4,4,4,1,2,3,4,5,1,1,1,1,1,1,4,9,22,36,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,1,0,0,0,0,0,2,0
DFF_38_Q_reg,8,14,18,24,28,2,7,11,15,18,1,3,2,2,2,2,7,14,16,14,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,10,13,1,1,0,1,0,0,3,0
DFF_39_Q_reg,8,18,24,30,35,2,8,14,18,21,1,3,3,2,2,2,7,14,16,14,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,6,12,14,1,1,0,1,0,0,2,0
DFF_40_Q_reg,8,18,28,35,39,2,8,14,20,23,1,3,3,3,2,2,7,14,16,13,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,3,6,12,14,1,1,0,1,0,0,4,0
DFF_41_Q_reg,8,18,28,39,48,2,8,15,22,28,1,3,3,3,4,2,7,14,16,15,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,3,6,12,16,1,1,0,1,0,0,4,0
DFF_42_Q_reg,8,18,28,39,53,2,8,14,21,28,1,3,3,3,4,2,7,11,18,16,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,11,15,1,1,0,1,0,0,3,0
DFF_43_Q_reg,8,18,28,39,52,2,8,15,21,28,1,3,3,3,4,2,7,14,18,7,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,6,10,15,1,1,0,1,0,0,3,0
DFF_44_Q_reg,8,18,28,39,49,2,8,15,23,28,1,3,3,3,3,2,10,17,8,13,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,7,11,17,1,1,0,1,0,0,2,0
DFF_45_Q_reg,8,18,28,40,56,2,8,16,23,31,1,3,3,3,3,2,10,10,6,14,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,8,12,18,1,1,0,1,0,0,2,0
DFF_46_Q_reg,8,16,31,50,72,2,8,17,32,43,1,2,3,4,4,2,3,4,8,12,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,5,12,16,1,1,0,1,0,0,1,0
DFF_47_Q_reg,8,18,26,46,68,2,8,16,27,43,1,3,2,4,5,1,3,5,10,12,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,6,10,20,1,1,0,1,0,0,0,0
DFF_48_Q_reg,4,8,18,26,46,1,3,8,16,27,1,1,2,2,4,2,5,10,12,10,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,9,14,1,0,0,0,0,0,1,0
DFF_49_Q_reg,8,14,22,33,47,2,7,12,19,27,1,3,2,3,3,1,3,5,10,12,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,7,14,1,1,0,1,0,0,0,0
DFF_50_Q_reg,4,8,14,22,33,1,3,7,12,19,1,1,2,2,3,2,5,10,12,9,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,8,12,1,0,0,0,0,0,1,0
DFF_51_Q_reg,8,14,22,30,45,2,7,12,19,26,1,3,2,3,3,1,3,5,10,12,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,5,9,16,1,1,0,1,0,0,0,0
DFF_52_Q_reg,4,8,14,22,30,1,3,7,12,19,1,1,2,2,3,2,5,10,12,10,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,3,9,14,1,0,0,0,0,0,1,0
DFF_53_Q_reg,8,14,22,29,40,2,7,12,18,23,1,3,2,3,2,1,3,5,10,11,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,5,8,13,1,1,0,1,0,0,0,0
DFF_54_Q_reg,4,8,14,22,29,1,3,7,12,18,1,1,2,2,3,2,5,10,11,9,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,3,8,12,1,0,0,0,0,0,1,0
DFF_55_Q_reg,8,14,22,24,39,2,7,12,16,20,1,3,2,2,2,1,3,5,7,11,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,6,10,1,1,0,1,0,0,0,0
DFF_56_Q_reg,4,8,14,22,24,1,3,7,12,16,1,1,2,2,2,2,5,7,11,9,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,7,12,1,0,0,0,0,0,1,0
DFF_57_Q_reg,8,14,18,25,35,2,7,11,16,20,1,3,1,2,2,1,3,5,7,14,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,8,11,1,1,0,1,0,0,0,0
DFF_58_Q_reg,4,8,14,18,25,1,3,7,11,16,1,1,2,1,2,2,5,7,14,10,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,1,0,0,0,0,0,1,0
DFF_59_Q_reg,8,14,22,28,39,2,7,12,17,22,1,3,2,3,3,1,3,8,11,10,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,8,9,1,1,0,1,0,0,0,0
DFF_60_Q_reg,4,8,14,22,28,1,3,7,12,17,1,1,2,2,3,2,8,11,10,12,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,4,6,13,1,0,0,0,0,0,1,0
DFF_61_Q_reg,8,14,25,35,52,2,7,12,19,26,1,3,3,4,3,1,3,8,10,5,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,3,7,11,1,1,0,1,0,0,0,0
DFF_62_Q_reg,4,8,14,25,35,1,3,7,12,19,1,1,2,3,4,2,8,10,5,12,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,1,0,0,0,0,0,1,0
DFF_63_Q_reg,8,12,22,30,55,2,7,13,22,31,1,2,1,2,4,1,3,2,4,7,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,9,11,1,1,0,1,0,0,0,0
DFF_64_Q_reg,4,8,12,22,30,1,3,7,13,22,1,1,1,1,2,2,2,4,7,11,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,1,0,0,0,0,0,1,0
DFF_65_Q_reg,8,14,22,28,44,2,7,12,19,27,1,3,2,2,3,1,3,5,10,12,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,8,13,1,1,0,1,0,0,0,0
DFF_66_Q_reg,4,8,14,22,28,1,3,7,12,19,1,1,2,2,2,2,5,10,12,10,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,7,12,1,0,0,0,0,0,1,0
DFF_67_Q_reg,8,14,22,29,44,2,7,12,18,24,1,3,2,3,3,1,3,5,10,12,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,7,13,1,1,0,1,0,0,0,0
DFF_68_Q_reg,4,8,14,22,29,1,3,7,12,18,1,1,2,2,3,2,5,10,12,10,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,8,12,1,0,0,0,0,0,1,0
DFF_69_Q_reg,8,14,22,30,45,2,7,12,19,26,1,3,2,3,3,1,3,5,10,11,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,5,9,16,1,1,0,1,0,0,0,0
DFF_70_Q_reg,4,8,14,22,30,1,3,7,12,19,1,1,2,2,3,2,5,10,11,9,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,3,9,14,1,0,0,0,0,0,1,0
DFF_71_Q_reg,8,14,22,30,45,2,7,12,19,26,1,3,2,3,3,1,3,5,10,12,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,5,9,15,1,1,0,1,0,0,0,0
DFF_72_Q_reg,4,8,14,22,30,1,3,7,12,19,1,1,2,2,3,2,5,10,12,10,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,3,8,13,1,0,0,0,0,0,1,0
DFF_73_Q_reg,8,14,22,29,43,2,7,12,18,23,1,3,2,3,3,1,3,5,6,10,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,7,11,1,1,0,1,0,0,0,0
DFF_74_Q_reg,4,8,14,22,29,1,3,7,12,18,1,1,2,2,3,2,5,6,10,7,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,7,13,1,0,0,0,0,0,1,0
DFF_75_Q_reg,8,14,22,29,44,2,7,12,18,24,1,3,2,3,3,1,3,5,7,13,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,8,12,1,1,0,1,0,0,0,0
DFF_76_Q_reg,4,8,14,22,29,1,3,7,12,18,1,1,2,2,3,2,5,7,13,10,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,1,0,0,0,0,0,1,0
DFF_77_Q_reg,8,14,22,30,41,2,7,12,19,25,1,3,2,3,2,1,3,8,11,11,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,10,13,1,1,0,1,0,0,0,0
DFF_78_Q_reg,4,8,14,22,30,1,3,7,12,19,1,1,2,2,3,2,8,11,11,13,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,4,6,15,1,0,0,0,0,0,1,0
DFF_79_Q_reg,8,14,22,29,46,2,7,12,18,23,1,3,2,3,2,1,3,8,10,6,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,9,11,1,1,0,1,0,0,0,0
DFF_80_Q_reg,4,8,14,22,29,1,3,7,12,18,1,1,2,2,3,2,8,10,6,16,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,4,7,13,1,0,0,0,0,0,1,0
DFF_81_Q_reg,8,12,22,30,52,2,7,13,22,31,1,2,1,2,3,1,3,3,8,17,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,9,12,1,1,0,1,0,0,0,0
DFF_82_Q_reg,4,8,12,22,30,1,3,7,13,22,1,1,1,1,2,2,3,8,17,18,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,4,13,1,0,0,0,0,0,4,0
DFF_83_Q_reg,8,14,22,28,44,2,7,12,19,27,1,3,2,2,3,2,7,14,16,14,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,12,16,1,1,0,1,0,0,5,0
DFF_84_Q_reg,8,18,24,34,43,2,8,14,20,28,1,3,3,2,3,2,7,14,16,14,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,6,13,18,1,1,0,1,0,0,4,0
DFF_85_Q_reg,8,18,28,35,48,2,8,15,22,28,1,3,3,3,3,2,7,14,16,14,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,3,7,14,17,1,1,0,1,0,0,3,0
DFF_86_Q_reg,8,18,28,39,45,2,8,15,22,28,1,3,3,3,3,2,7,14,16,15,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,3,6,12,17,1,1,0,1,0,0,2,0
DFF_87_Q_reg,8,18,28,35,48,2,8,14,20,26,1,3,3,2,3,2,7,11,18,15,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,4,11,15,1,1,0,1,0,0,4,0
DFF_88_Q_reg,8,18,24,36,45,2,8,15,21,28,1,3,2,2,3,2,7,14,18,8,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,7,12,18,1,1,0,1,0,0,3,0
DFF_89_Q_reg,8,18,28,40,54,2,8,15,24,31,1,3,3,3,4,2,10,17,8,24,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,7,12,19,1,1,0,1,0,0,2,0
DFF_90_Q_reg,8,18,28,40,54,2,8,16,24,33,1,3,3,3,4,2,10,10,18,22,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,8,13,20,1,1,0,1,0,0,1,0
DFF_91_Q_reg,8,16,31,50,76,2,8,17,32,45,1,2,3,4,5,2,3,15,15,14,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,2,5,12,17,1,1,0,1,0,0,2,0
